url,video
https://www.youtube.com/watch?v=FHl-juViFag,《客家戲曲》花屯女：EP04(榮興工作坊)
https://www.youtube.com/watch?v=Frh7-5mtZD8,突破無聲 溝通無礙 | 2022《福氣來了 南方影響力》南方篇5 EP27
https://www.youtube.com/watch?v=TcioRNh416w,洛神花遇到雞腿，竟是浪漫的故事？！｜《一家之煮》EP260(桃園平鎮大亂鬥)
https://www.youtube.com/watch?v=-KKUif3gt_U,《客家戲曲》花屯女：EP03(榮興工作坊)
https://www.youtube.com/watch?v=Ihpf8rMxKU0,劇團活出新女力 | 2022《福氣來了 南方有活力》南方篇5 EP26
https://www.youtube.com/watch?v=fTwvsoG6STo,明珠開金口，指著？？，說是魚？｜《一家之煮》EP259(桃園大園 VS 平鎮)
https://www.youtube.com/watch?v=qUtbwnZxT00,《客家戲曲》花屯女：EP02(榮興工作坊)
https://www.youtube.com/watch?v=0cKj1AJ3Mis,2022《福氣來了 食事探索力》EP24：有機蔬菜食在安心—有機蔬菜專車出發！吃得起的當季蔬菜，從產地到餐桌的農村體驗
https://www.youtube.com/watch?v=M3ZxG-8FON0,《活力新故鄉》EP52：印尼 楊雪霞
https://www.youtube.com/watch?v=oNDHHX_SrCE,南方有魅力第二十九集 走讀故事 文化導覽 吳毓珍
https://www.youtube.com/watch?v=-smbtGOGceM,《客家戲曲》花屯女：EP01(榮興工作坊)
https://www.youtube.com/watch?v=9TkmW2QKiK4,南方有活力第31集 新住民的客家愛戀 大谷夏凜
https://www.youtube.com/watch?v=eB9jadMmcMk,南方影響力第三十集 美濃民宿 傳幸福 王千旻
https://www.youtube.com/watch?v=s24q4izZ2jk,2022《福氣來了 藝FUN生命力》EP23：坐好月子 呵護家人—產後照護神隊友！月子中心、月子祕書來幫忙，悉心調養照護全家
https://www.youtube.com/watch?v=gTma_uF-Tl8,25分鐘學習功法提升體能｜氣機導引篇EP02｜劉秋昀老師｜《停動停動好健康》
https://www.youtube.com/watch?v=Y2G-8mroybI,25分鐘學習功法提升體能｜氣機導引篇EP03｜劉秋昀老師｜《停動停動好健康》
https://www.youtube.com/watch?v=fB4UoTVmnMM,25分鐘學習功法提升體能｜氣機導引篇EP01｜劉秋昀老師｜《停動停動好健康》
https://www.youtube.com/watch?v=wSbFEbTixLM,來著不善! 廣播主持來踢館  |《鬧熱打擂台》EP308
https://www.youtube.com/watch?v=vAwXt0RnrUI,今年夏天我就瘦｜《後生大聲公》EP114
https://www.youtube.com/watch?v=H0AzzJGvkdI,品茶遊憩來竹田 ｜2022《福氣來了 南方有活力》南方篇5 EP25
https://www.youtube.com/watch?v=_yi79EFhA-M,《光的孩子The Child of Light》 中英文版【ENG SUB】
https://www.youtube.com/watch?v=kmhM9dWkPlc,什麼味道讓眾人覺得 Very Good 呢？｜《一家之煮》EP258(屏東長治 VS 潮州)
https://www.youtube.com/watch?v=Y72KX8h_xvI,心沒輸、就算贏｜《船到橋頭不會直》EP12
https://www.youtube.com/watch?v=cAqraRhYHls,翻身的鹹魚｜《船到橋頭不會直》EP11
https://www.youtube.com/watch?v=8JR2EEZnuBg,關鍵一票｜《船到橋頭不會直》EP10
https://www.youtube.com/watch?v=eyQMFx65vJo,史前遺跡｜《船到橋頭不會直》EP09
https://www.youtube.com/watch?v=S8PP1Rju_G0,不是親家不對頭｜《船到橋頭不會直》EP08
https://www.youtube.com/watch?v=0qIS5wpMToM,船到橋頭不會直｜《船到橋頭不會直》EP07
https://www.youtube.com/watch?v=StcmTpj-Ur4,不能哭，哭就輸一半 ｜《船到橋頭不會直》 EP05
https://www.youtube.com/watch?v=bVIznLERZ3c,愛情騙局｜《船到橋頭不會直》 EP06
